block,splite,cos,,block,splite,,,,block,splite,,
382,3,0.968600432,,382,3,,578,,0.660899654,0.75,,
382,3,0.968600432,,382,3,,4,,0.660899654,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
388,3,0.968816824,,388,3,,,,0.671280277,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
383,3,0.968644343,,383,3,,,,0.662629758,0.75,,
401,3,0.969179492,,401,3,,,,0.693771626,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
400,3,0.969159765,,400,3,,,,0.692041522,0.75,,
303,3,0.960298261,,303,3,,,,0.524221453,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,Œ³ID
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,70718980
419,3,0.965299097,,419,3,,,,0.724913495,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
397,3,0.969242537,,397,3,,,,0.686851211,0.75,,
147,2,0.887519308,,147,2,,,,0.25432526,0.5,,
505,3,0.989404299,,505,3,,,,0.873702422,0.75,,
488,3,0.991439181,,488,3,,,,0.844290657,0.75,,
488,3,0.991439181,,488,3,,,,0.844290657,0.75,,
488,3,0.991439181,,488,3,,,,0.844290657,0.75,,
544,2,0.99724719,,544,2,,,,0.941176471,0.5,,
579,4,0.999694909,,579,4,,,,1.001730104,1,,
570,3,0.99979713,,570,3,,,,0.98615917,0.75,,
542,2,0.99728887,,542,2,,,,0.937716263,0.5,,
570,3,0.99979713,,570,3,,,,0.98615917,0.75,,
573,3,0.999817192,,573,3,,,,0.991349481,0.75,,
573,3,0.999817192,,573,3,,,,0.991349481,0.75,,
570,3,0.99979713,,570,3,,,,0.98615917,0.75,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
370,2,0.965436641,,370,2,,,,0.640138408,0.5,,
544,2,0.997370425,,544,2,,,,0.941176471,0.5,,
570,3,0.99979713,,570,3,,,,0.98615917,0.75,,
571,3,0.999776748,,571,3,,,,0.987889273,0.75,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
570,3,0.99979713,,570,3,,,,0.98615917,0.75,,
467,11,0.809321161,,467,11,,,,0.807958478,2.75,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
585,4,0.999736779,,585,4,,,,1.012110727,1,,
410,3,0.967695615,,410,3,,,,0.709342561,0.75,,
550,3,0.997690015,,550,3,,,,0.951557093,0.75,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
16,2,0.007691653,,16,2,,,,0.027681661,0.5,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,3,0.999553878,,578,3,,,,1,0.75,,
578,4,1,,578,4,,,,1,1,,
382,3,0.968600432,,382,3,,,,0.660899654,0.75,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
361,13,0.895921698,,361,13,,,,0.624567474,3.25,,
578,4,1,,578,4,,,,1,1,,
577,4,0.999939685,,577,4,,,,0.998269896,1,,
578,4,1,,578,4,,,,1,1,,
575,4,0.999941981,,575,4,,,,0.994809689,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
578,4,1,,578,4,,,,1,1,,
