block,splite,block,splite,cos,cos,,65,,,,,,cos,block,splite,,青　ダイヤ,赤　四角,黄緑　三角,紫　バツ,水色　バツ
36,2,0.553846154,0.666666667,0.853638056,0.853638056,,3,,,,,,0.853638056,0.553846154,0.666666667,,,,,,
36,2,0.553846154,0.666666667,0.853638056,0.853638056,,,,,,,,0.853638056,0.553846154,0.666666667,,,,,,
63,3,0.969230769,1,0.995663295,0.995663295,,,,,,,,0.995663295,0.969230769,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
36,2,0.553846154,0.666666667,0.853638056,0.853638056,,,,,,,,0.853638056,0.553846154,0.666666667,,,,,,
55,2,0.846153846,0.666666667,0.958264716,0.958264716,,,,,,,,0.958264716,0.846153846,0.666666667,,,,,,
68,3,1.046153846,1,0.994466353,0.994466353,,,,,,,,0.994466353,1.046153846,1,,,,,,
68,3,1.046153846,1,0.994466353,0.994466353,,,,,,,,0.994466353,1.046153846,1,,,,,,
78,4,1.2,1.333333333,0.966292852,0.966292852,,,,,,,,0.966292852,1.2,1.333333333,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
44,2,0.676923077,0.666666667,0.903457136,0.903457136,,,,,,,,0.903457136,0.676923077,0.666666667,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,0.977797922,0.861538462,0.666666667,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
66,3,1.015384615,1,0.997786815,0.997786815,,,,,,,,0.997786815,1.015384615,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
64,3,0.984615385,1,0.997703984,0.997703984,,,,,,,,0.997703984,0.984615385,1,,,,,,
65,5,1,1.666666667,1,1,,,,,,,,1,1,1.666666667,,,,,,
31,3,0.476923077,1,0.746406205,0.746406205,,,,,,,,0.746406205,0.476923077,1,,,,,,
65,3,1,1,0.991112581,0.991112581,,,,,,,,0.991112581,1,1,,,,,,
65,4,1,1.333333333,1,1,,,,,,,,1,1,1.333333333,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
101,5,1.553846154,1.666666667,0.860723366,0.860723366,,,,,,,,0.860723366,1.553846154,1.666666667,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
116,6,1.784615385,2,0.697039625,0.697039625,,,,,,,,0.697039625,1.784615385,2,,,,,,
70,5,1.076923077,1.666666667,0.992809691,0.992809691,,,,,,,,0.992809691,1.076923077,1.666666667,,,,,,
58,3,0.892307692,1,0.930986377,0.930986377,,,,,,,,0.930986377,0.892307692,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
64,3,0.984615385,1,0.997792164,0.997792164,,,,,,,,0.997792164,0.984615385,1,,,,,,
162,4,2.492307692,1.333333333,0.70884926,0.70884926,,,,,,,,0.70884926,2.492307692,1.333333333,,,,,,
306,17,4.707692308,5.666666667,0.670596805,0.670596805,,,,,,,,0.670596805,4.707692308,5.666666667,,,,,,
300,17,4.615384615,5.666666667,0.683771028,0.683771028,,,,,,,,0.683771028,4.615384615,5.666666667,,,,,,
145,4,2.230769231,1.333333333,0.675259141,0.675259141,,,,,,,,0.675259141,2.230769231,1.333333333,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,4,1,1.333333333,1,1,,,,,,,,1,1,1.333333333,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,0.958038068,0.958038068,,,,,,,,0.958038068,1,1,,,,,,
52,2,0.8,0.666666667,0.958443645,0.958443645,,,,,,,,0.958443645,0.8,0.666666667,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
56,2,0.861538462,0.666666667,0.915824613,0.915824613,,,,,,,,0.915824613,0.861538462,0.666666667,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
70,3,1.076923077,1,0.993180405,0.993180405,,,,,,,,0.993180405,1.076923077,1,,,,,,
65,4,1,1.333333333,1,1,,,,,,,,1,1,1.333333333,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
65,3,1,1,1,1,,,,,,,,1,1,1,,,,,,
201,9,3.092307692,3,0.719578994,0.719578994,,,,,,,,0.719578994,3.092307692,3,,,,,,
