block,splite,block,splite,cos,cos,,65,,,,,,,block,splite,,blue,red,yellowgreen,purple,skyblue
36,2,0.553846154,0.666666667,0.853638056,0.853638056,,3,,,,,,,0.553846154,0.666666667,,,,,,
36,2,0.553846154,0.666666667,0.853638056,0.853638056,,,,,,,,,0.553846154,0.666666667,,,,,,
27,1,0.415384615,0.333333333,0.749631334,0.749631334,,,,,,,,,0.415384615,0.333333333,,,,,,
65,4,1,1.333333333,1,1,,,,,,,,,1,1.333333333,,,,,,
43,1,0.661538462,0.333333333,0.911439502,0.911439502,,,,,,,,,0.661538462,0.333333333,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
58,2,0.892307692,0.666666667,0.976194079,0.976194079,,,,,,,,,0.892307692,0.666666667,,,,,,
59,2,0.907692308,0.666666667,0.963749605,0.963749605,,,,,,,,,0.907692308,0.666666667,,,,,,
65,3,1,1,0.952863994,0.952863994,,,,,,,,,1,1,,,,,,
76,4,1.169230769,1.333333333,0.921188655,0.921188655,,,,,,,,,1.169230769,1.333333333,,,,,,
63,3,0.969230769,1,0.958180993,0.958180993,,,,,,,,,0.969230769,1,,,,,,
54,2,0.830769231,0.666666667,0.965364225,0.965364225,,,,,,,,,0.830769231,0.666666667,,,,,,
54,2,0.830769231,0.666666667,0.969468968,0.969468968,,,,,,,,,0.830769231,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
92,3,1.415384615,1,0.953584816,0.953584816,,,,,,,,,1.415384615,1,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
66,3,1.015384615,1,0.971865844,0.971865844,,,,,,,,,1.015384615,1,,,,,,
57,2,0.876923077,0.666666667,0.975000211,0.975000211,,,,,,,,,0.876923077,0.666666667,,,,,,
35,2,0.538461538,0.666666667,0.853978278,0.853978278,,,,,,,,,0.538461538,0.666666667,,,,,,
102,5,1.569230769,1.666666667,0.767460594,0.767460594,,,,,,,,,1.569230769,1.666666667,,,,,,
56,2,0.861538462,0.666666667,0.977797922,0.977797922,,,,,,,,,0.861538462,0.666666667,,,,,,
