block,splite,cos
20,2,0.9759000729485332
21,2,0.9658905768325904
17,2,0.9279706720076406
59,4,0.9469906064957608
36,3,0.9743975315293801
50,2,0.8748177652797064
20,2,0.9759000729485332
20,2,0.9759000729485332
35,2,0.8177506307136362
25,2,0.9360504666899516
27,5,0.956839381116751
20,2,0.9759000729485332
37,2,0.9233805168766386
53,2,0.791563392502699
54,3,0.7358401965401548
20,2,0.9759000729485332
172,5,0.6961415312334888
92,9,0.8125002897945419
120,4,0.775209328935441
0,2,0
40,2,0.8757549764126291
51,5,0.9345134369720971
29,2,0.8639354603891503
27,2,0.8440451279321198
28,3,0.9146504063595328
24,2,0.9260956004778825
20,2,0.9759000729485332
30,6,0.8232218629196946
117,3,0.8013026116555898
53,5,0.6540500249634633
20,2,0.9759000729485332
29,3,0.5515062393184988
39,2,0.8353970306134467
65,2,0.8414653028585664
20,2,0.9578414886923188
49,2,0.863864588999522
31,3,0.8392740627357385
28,3,0.9189562119494701
22,2,0.9141741003300661
23,2,0.9751632664464014
29,3,0.8425313969992912
24,3,0.9570879353629509
18,2,0.947045093930531
32,2,0.8874119674649423
25,7,0.9287269204251442
90,3,0.7174666566199048
20,2,0.9759000729485332
19,2,0.9575099982900424
19,2,0.9714285714285714
19,2,0.9575099982900424
19,2,0.9575099982900424
19,2,0.9575099982900424
22,2,0.9376144618769908
19,2,0.9071147352221454
24,3,0.9383369280147672
21,2,0.9658905768325904
88,4,0.7175105773237272
71,2,0.7934538013053075
27,2,0.890260411780047
20,2,0.9759000729485332
26,2,0.9163795899053139
36,3,0.9743975315293801
55,3,0.7516710982200312
34,2,0.5581404279634194
640,48,0.5071176837823741
26,2,0.9601587170383664
310,17,0.8712163302263294
20,2,0.9759000729485332
21,2,0.9658905768325904
30,3,0.8451542547285166
26,2,0.9449111825230679
36,3,0.9743975315293801
68,12,0.4031621045431757
20,2,0.9759000729485332
27,3,0.9368640700305918
34,2,0.8773177367122049
32,2,0.8167395497118357
20,2,0.9759000729485332
43,5,0.8789604249176572
20,2,0.9759000729485332
38,3,0.975503532980349
25,2,0.9682614658984554
44,4,0.6113470158144013
24,2,0.8295150620062532
23,2,0.9467621366623017
20,2,0.9759000729485332
20,2,0.9759000729485332
25,2,0.9287269204251442
42,2,0.8432740427115678
24,3,0.9383369280147672
20,2,0.9759000729485332
21,2,0.9658905768325904
35,3,0.9702387396674322
21,2,0.7944613465542745
20,2,0.9759000729485332
81,5,0.8541195438431579
20,2,0.9759000729485332
19,2,0.9575099982900424
36,3,0.9743975315293801
56,5,0.5988617490341906
36,3,0.9743975315293801
25,2,0.9173460685716212
20,2,0.9759000729485332
20,3,0.9759000729485332
20,2,0.9759000729485332
61,2,0.5443447441985204
22,3,0.9322783152808269
20,3,0.9759000729485332
43,4,0.9323601291732079
454,72,0.6112241804043815
21,2,0.9658905768325904
22,2,0.9561828874675149
24,3,0.9519830760068606
28,2,0.9235235529729346
0,1,0
54,2,0.8056269291891558
64,3,0.8839656943780168
