block,splite,cos
20,2,0.9759000729485332
39,3,0.8418913986552843
47,4,0.763223966153332
20,2,0.9578414886923188
224,9,0.20940414535593263
47,3,0.8776139608756867
148,10,0.9101346714779678
26,2,0.8280786712108249
20,2,0.8366600265340756
27,2,0.8750036971232157
22,2,0.9128709291752769
32,2,0.7490253407188311
18,3,0.9856107606091622
23,2,0.9239364353597956
56,2,0.6780312999921146
42,4,0.9221228546165696
47,5,0.9149624423762365
69,5,0.9226626757930889
66,4,0.8889822546670876
34,3,0.9340401906204228
23,2,0.9239364353597956
40,4,0.9578414886923188
19,4,0.9714285714285714
19,2,0.9714285714285714
19,2,0.9714285714285714
41,5,0.803157718153854
18,2,0.9856107606091622
19,2,0.9714285714285714
57,4,0.7200724369655243
32,2,0.756978119245116
32,2,0.756978119245116
32,2,0.756978119245116
32,2,0.756978119245116
54,3,0.4757187668362752
32,2,0.756978119245116
41,2,0.689587130233646
18,2,0.9578414886923188
46,3,0.8232218629196946
566,22,0.5330348435250885
723,32,0.3286864743486962
30,2,0.845330310194384
60,4,0.9289203850497664
525,21,0.5501705079158106
54,6,0.8746551577745626
33,3,0.7879477634999258
54,2,0.7389522448494673
21,2,0.9202643353333034
124,5,0.4840014728723191
26,2,0.8844691709074513
24,2,0.8664002254439634
59,5,0.8939674494167276
49,4,0.749603069567329
19,2,0.9767328030946411
32,2,0.7990141709132553
20,2,0.8295150620062532
35,2,0.8832168639759572
30,2,0.8366600265340755
64,5,0.7346829494037399
18,2,0.9856107606091622
31,2,0.9350324669687755
19,2,0.9714285714285714
18,3,0.9856107606091622
29,3,0.9289671849543267
29,2,0.7482020418306247
21,2,0.7919455160226819
70,8,0.26813999892744
17,2,0.9710083124552245
156,6,0.5172935265326568
29,2,0.9089716762345905
21,2,0.9448090244404383
110,4,0.706151418453558
18,2,0.9856107606091622
24,2,0.8877935232369504
21,2,0.953747635118964
19,2,0.9428571428571428
18,2,0.9856107606091622
211,12,0.6164945752472812
72,6,0.7571030532950322
31,2,0.8800305571470828
151,8,0.2953868260357888
18,2,0.9856107606091622
24,2,0.9321831993987979
237,14,0.54243665909332
32,2,0.8970852271450606
39,3,0.9305345054829863
24,2,0.9660122791674567
18,2,0.9856107606091622
378,13,0.5971132461748024
18,4,0.9856107606091622
27,2,0.9089716762345905
30,2,0.7273098320775917
564,36,0.9006321532957169
25,2,0.9027122110706692
48,2,0.7171371656006362
20,2,0.9578414886923188
144,11,0.9478786079406707
25,2,0.9428327537849212
17,2,0.973035471890234
21,2,0.9202643353333034
5,4,0.6047431568147635
53,2,0.5868996991800293
23,2,0.9467621366623017
20,2,0.9578414886923188
22,2,0.9086882225022429
25,2,0.9089716762345905
64,4,0.8854377448471461
18,2,0.9856107606091622
283,15,0.7713974953465258
18,2,0.9856107606091622
58,4,0.6528576353053678
27,2,0.7482020418306247
163,5,0.4116445845835777
36,2,0.6450654404728261
33,2,0.6523923386634748
18,2,0.9856107606091622
46,3,0.7624425757515652
26,3,0.9569487529386907
18,2,0.9856107606091622
35,3,0.9314272608868055
19,2,0.9714285714285714
36,2,0.8019732503175675
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
30,2,0.9038741156756381
97,4,0.5375170309743497
18,2,0.9856107606091622
139,5,0.46995420730775544
46,3,0.8972006153026083
18,4,0.9856107606091622
4131,202,0.5969132828174172
18,2,0.9856107606091622
21,2,0.9827076298239908
18,4,0.9856107606091622
86,2,0.5632303830755898
18,2,0.9856107606091622
18,2,0.9856107606091622
23,2,0.8975382514923729
15,2,0.9163795899053139
41,2,0.5208817806924757
217,29,0.5837435497820321
23,2,0.9279706720076406
38,5,0.699454637990666
29,2,0.9227724824277952
78,2,0.5696675107437099
23,2,0.9403246919632545
39,2,0.9679776597353408
71,4,0.7127509644204137
29,2,0.5323971374999499
36,2,0.870139561876632
38,2,0.7780275551118464
70,9,0.6569658667236101
27,2,0.8248628195623472
19,2,0.9714285714285714
20,2,0.9578414886923188
18,2,0.9856107606091622
309,21,0.9488684048213767
18,3,0.9856107606091622
21,2,0.9202643353333034
18,2,0.9856107606091622
19,2,0.9714285714285714
104,10,0.7398938959005382
18,2,0.9856107606091622
31,3,0.9732475966339407
27,2,0.8047478161629564
138,2,0.8239650908513516
40,4,0.5211594217292275
47,3,0.6926184228854151
43,2,0.7155488199836719
32,2,0.8196011418647681
20,2,0.9578414886923188
29,2,0.9318553698829808
49,2,0.8891502883619381
68,2,0.5758828754065715
42,4,0.6870959469652942
21,2,0.9239364353597956
18,2,0.9856107606091622
40,2,0.8489428330267074
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
293,21,0.9411390252219645
20,2,0.9578414886923188
18,2,0.9856107606091622
18,2,0.9856107606091622
21,4,0.9462555234916723
18,2,0.9856107606091622
18,2,0.9856107606091622
134,9,0.9202744506069953
21,3,0.961571661806999
440,31,0.9386759375859068
59,2,0.6126459994510954
23,2,0.8805592628464114
68,10,0.7161459596457759
307,15,0.8679561017985374
24,2,0.9221228546165696
18,2,0.9856107606091622
20,4,0.9578414886923188
18,2,0.9276336570439173
22,10,0.917364944587726
23,2,0.9575099982900424
24,3,0.9221228546165696
29,3,0.9423444891805747
18,3,0.3551174092947802
71,4,0.8021179784422434
18,2,0.9856107606091622
20,2,0.9578414886923188
18,2,0.9856107606091622
27,3,0.9027122110706692
18,2,0.9856107606091622
23,2,0.9682614658984554
20,3,0.9621404708847278
39,3,0.9693282805305133
347,4,0.49936073221544003
44,3,0.7665002309055752
212,30,0.28694031279652815
40,4,0.7097954098256227
19,2,0.9725975251592748
0,0,0
69,3,0.4920021110170467
35,3,0.9540650933115625
18,2,0.9856107606091622
24,2,0.8664002254439634
1404,101,0.9381452771481531
16,2,0.9566807697649697
33,2,0.7814590268710259
25,3,0.9122602945348453
48,2,0.7816659401791309
83,5,0.8713976805202812
41,2,0.7942704104271311
15,2,0.9127665951067979
18,2,0.9566222088265397
236,22,0.7159630846982991
23,3,0.9071147352221454
22,2,0.6932325934139483
160,6,0.8295565925566334
37,2,0.606976978666884
55,3,0.911139637265601
40,3,0.7666518779999278
23,2,0.8711400676249501
18,2,0.9856107606091622
21,2,0.9704311900788593
30,3,0.8091486573163202
25,2,0.7485651970452576
90,8,0.7898161329129227
23,2,0.9572688422609589
20,2,0.9578414886923188
22,2,0.9322944450820391
19,2,0.9714285714285714
18,2,0.9856107606091622
18,2,0.9856107606091622
27,3,0.9055087474145156
24,3,0.947045093930531
33,2,0.8161001271141478
22,3,0.9660917830792958
47,3,0.8177061247044413
19,2,0.9473309334313418
34,2,0.7320775232173161
36,3,0.9416472308615167
46,5,0.9669637859493743
74,6,0.3060517600633798
23,2,0.9572688422609589
15,2,0.9163795899053139
31,2,0.8958617182905828
37,3,0.9376144618769907
18,2,0.9856107606091622
25,3,0.6924247647178143
20,3,0.9322944450820391
25,2,0.9157230764999138
60,3,0.8720477084140664
47,5,0.716325465096489
38,3,0.8864052604279183
20,2,0.7975116580467629
25,2,0.9462555234916723
24,3,0.9486832980505139
81,7,0.431170336501238
18,2,0.9856107606091622
59,4,0.8321923511287381
187,9,0.9048768515119151
18,2,0.9856107606091622
32,3,0.9759000729485332
26,4,0.8728715609439694
115,10,0.9331517392774497
21,2,0.9448090244404383
26,2,0.8783100656536799
21,3,0.9725975251592748
23,2,0.9627133751052368
20,2,0.9578414886923188
60,3,0.7289455447033455
35,3,0.9540650933115625
30,3,0.8773177367122049
21,2,0.953747635118964
48,3,0.27985853927477816
137,10,0.4620267393351951
29,3,0.5938224925220941
28,2,0.9306800811953774
19,2,0.9714285714285714
135,17,0.4661996218248476
19,2,0.9415838181383994
54,3,0.8801445210192383
287,12,0.7906738281601113
23,2,0.9462555234916723
71,4,0.721550359042888
22,2,0.9086882225022429
17,3,0.9710083124552245
32,4,0.8451542547285166
20,2,0.9860132971832692
18,2,0.9856107606091622
50,4,0.8964214570007952
46,4,0.9669637859493743
18,2,0.9856107606091622
39,3,0.915634229067195
24,2,0.8664002254439634
24,2,0.9383369280147672
46,4,0.7857142857142857
32,2,0.9025119639297419
75,2,0.7652067270863078
20,2,0.9322944450820391
18,2,0.9578414886923188
27,2,0.9053541010220678
96,12,0.6081311001683554
30,2,0.7879189847507243
18,2,0.9856107606091622
