,len,,len,len,,,,,,,,,,,,,,,,,
cos,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
splite,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,1,0,4,0,1,4,3,4,15,18,22,34,42,61,70,109,239,694
2,0,0,0,0,0,0,2,5,9,6,7,10,18,15,25,40,50,53,77,141,196
3,0,0,0,0,0,0,0,4,2,5,5,8,11,3,6,9,9,17,19,17,19
4,0,0,0,0,0,0,2,2,0,1,1,1,4,3,2,5,5,5,7,4,7
5,0,0,0,0,0,2,0,0,0,0,2,2,3,1,1,2,1,1,3,7,4
6,0,0,0,0,0,0,2,0,0,0,1,1,1,3,1,2,2,0,1,3,2
7,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,2,2,1,2,0,3
8,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,2,1,1
9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,1,0,1
10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2
14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,11
