,len,len,len,,,,,,,,,,,,,,,,,,
cos,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
splite,,,,,,,,,,,,,,,,,,,,,
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,1,0,2,4,2,1,5,16,19,12,19,36,51,116,113,129,268,491,1095,2977
2,3,0,0,2,1,4,5,11,20,30,34,43,58,76,87,107,133,234,372,712,892
3,0,0,1,0,2,1,4,8,7,6,16,21,31,32,32,39,56,66,84,124,126
4,0,0,0,0,1,1,3,5,6,7,10,12,20,12,12,12,26,27,21,30,23
5,0,0,0,0,1,0,2,5,4,3,3,6,6,9,12,5,11,16,14,12,11
6,0,0,0,0,0,1,3,6,2,5,0,3,3,9,7,9,7,6,1,6,10
7,0,0,0,1,0,1,0,1,1,2,2,2,5,5,4,6,3,2,4,9,5
8,1,0,0,2,0,1,0,1,1,2,3,5,0,3,5,5,0,3,2,6,4
9,0,0,0,0,0,0,3,2,1,0,2,2,3,5,4,3,1,2,3,12,5
10,0,0,0,0,0,1,1,2,1,1,1,2,2,3,4,4,1,0,2,3,1
11,0,0,0,0,0,0,0,0,2,2,0,1,2,1,1,2,4,0,3,4,1
12,0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,1,0,0,1
13,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1,2,0,0,3,3
14,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2
16,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,1,0,0,0,3,0
17,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0
19,0,0,0,0,0,1,1,1,3,1,3,2,3,2,0,2,1,2,5,10,4
