,len,,,,,,,,,,,,,,,,,,,,
cos,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
splite,,,,,,,,,,,,,,,,,,,,,
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,3,2,0,4,14,8,6,9,20,30,26,41,86,148,131,196,189
2,0,0,0,1,0,0,2,4,8,10,9,24,17,25,71,47,72,79,91,130,68
3,0,0,0,0,1,0,0,2,2,2,7,6,9,15,10,9,14,24,24,20,4
4,0,0,0,0,1,0,0,1,1,6,1,0,4,4,4,3,8,4,6,6,3
5,0,0,0,0,2,1,1,0,1,4,2,2,2,0,3,5,3,1,4,3,0
6,0,0,0,0,0,0,1,1,0,1,1,0,2,4,2,3,1,3,1,1,0
7,0,0,0,1,0,0,0,0,2,3,1,5,3,4,1,1,1,2,3,1,0
8,0,0,0,0,0,0,1,0,0,1,1,2,3,0,1,3,1,1,1,0,1
9,0,0,0,0,0,0,0,1,0,2,1,0,2,2,1,0,2,0,1,1,0
10,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,1,0,0,77,0,2,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,2,0
13,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,1,2,0,1,0,2,1,3,0,1,0,1,0,0
