,,,,,len,,,len,,,,,,,,,,,,,
cos,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
splite,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,2,2,1,1,0,3,8,9,9,12,17,21,17
2,0,0,0,0,0,0,0,0,4,2,4,2,5,6,13,8,15,7,17,8,1
3,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,1,1,3,2,1,2
4,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,2,0,0,1,0
5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
