block,cos
0.553846154,0.853638056
0.553846154,0.853638056
0.969230769,0.995663295
1,1
0.553846154,0.853638056
0.846153846,0.958264716
1.046153846,0.994466353
1.046153846,0.994466353
1.2,0.966292852
1,1
1,1
1,1
0.676923077,0.805121665
1,1
1,1
0.861538462,0.977797922
1,1
1.015384615,0.997786815
1,1
1,1
0.984615385,0.997703984
1,1
0.476923077,0.746406205
1,0.991112581
1,1
1,1
1.553846154,0.860723366
1,1
1.784615385,0.645723824
1.076923077,0.924925268
0.892307692,0.853404179
1,1
1,1
1,1
0.984615385,0.997792164
2.492307692,0.70884926
4.707692308,0.659047237
4.615384615,0.671788184
2.230769231,0.675259141
1,1
1,1
1,1
1,1
1,1
1,0.958038068
0.8,0.958443645
1,1
0.861538462,0.915824613
1,1
1,1
1,1
1,1
1,1
1.076923077,0.925559611
1,1
1,1
1,1
3.092307692,0.702522306
