splite,cos
0.666666667,0.853638056
0.666666667,0.853638056
1,0.995663295
1,1
0.666666667,0.853638056
0.666666667,0.958264716
1,0.994466353
1,0.994466353
1.333333333,0.966292852
1,1
1,1
1,1
0.666666667,0.805121665
1,1
1,1
0.666666667,0.977797922
1,1
1,0.997786815
1,1
1,1
1,0.997703984
1.666666667,1
1,0.746406205
1,0.991112581
1.333333333,1
1,1
1.666666667,0.860723366
1,1
2,0.645723824
1.666666667,0.924925268
1,0.853404179
1,1
1,1
1,1
1,0.997792164
1.333333333,0.70884926
5.666666667,0.659047237
5.666666667,0.671788184
1.333333333,0.675259141
1,1
1,1
1,1
1.333333333,1
1,1
1,0.958038068
0.666666667,0.958443645
1,1
0.666666667,0.915824613
1,1
1,1
1,1
1,1
1,1
1,0.925559611
1.333333333,1
1,1
1,1
3,0.702522306
