block,,splite,,cos
299,15.73684211,11,5.5,0.64409423
39,2.052631579,2,1,0.659958754
1702,89.57894737,40,20,0.667923171
117,6.157894737,3,1.5,0.663274944
60,3.157894737,3,1.5,0.760600024
84,4.421052632,6,3,0.912522562
36,1.894736842,2,1,0.879833588
36,1.894736842,2,1,0.845316769
25,1.315789474,2,1,0.838293244
117,6.157894737,3,1.5,0.663274944
98,5.157894737,3,1.5,0.672735723
51,2.684210526,2,1,0.769701723
541,28.47368421,22,11,0.566052082
86,4.526315789,6,3,0.712492719
180,9.473684211,24,12,0.6733753
127,6.684210526,4,2,0.445724589
22,1.157894737,3,1.5,0.956182887
31,1.631578947,3,1.5,0.817662173
127,6.684210526,3,1.5,0.681739638
122,6.421052632,3,1.5,0.691735347
29,1.526315789,3,1.5,0.800760762
137,7.210526316,5,2.5,0.644222906
124,6.526315789,5,2.5,0.849687799
111,5.842105263,4,2,0.682884638
552,29.05263158,22,11,0.569230585
138,7.263157895,5,2.5,0.680743486
30,1.578947368,2,1,0.868731188
132,6.947368421,3,1.5,0.723138418
101,5.315789474,4,2,0.483585266
124,6.526315789,3,1.5,0.694100762
124,6.526315789,5,2.5,0.696682991
95,5,3,1.5,0.62476169
122,6.421052632,3,1.5,0.691735347
25,1.315789474,2,1,0.789417882
32,1.684210526,2,1,0.891901744
58,3.052631579,5,2.5,0.633114683
62,3.263157895,3,1.5,0.839479661
41,2.157894737,3,1.5,0.96797766
122,6.421052632,3,1.5,0.691735347
541,28.47368421,22,11,0.566052082
109,5.736842105,4,2,0.633074071
541,28.47368421,22,11,0.566052082
76,4,4,2,0.828124552
22,1.157894737,2,1,0.902707567
38,2,3,1.5,0.863220662
374,19.68421053,16,8,0.690542806
19,1,2,1,0.971428571
65,3.421052632,3,1.5,0.708239987
199,10.47368421,4,2,0.554788622
561,29.52631579,20,10,0.528730586
541,28.47368421,22,11,0.566052082
38,2,2,1,0.838055883
114,6,3,1.5,0.639791206
541,28.47368421,22,11,0.566052082
591,31.10526316,22,11,0.568191908
527,27.73684211,22,11,0.562348475
25,1.315789474,2,1,0.930613859
18,0.947368421,2,1,0.822612746
521,27.42105263,22,11,0.550912462
541,28.47368421,22,11,0.566052082
541,28.47368421,22,11,0.566052082
27,1.421052632,2,1,0.820516151
549,28.89473684,22,11,0.573990142
55,2.894736842,4,2,0.924945092
62,3.263157895,2,1,0.677296212
30,1.578947368,2,1,0.942908071
93,4.894736842,2,1,0.385814197
93,4.894736842,2,1,0.385814197
32,1.684210526,3,1.5,0.950871098
125,6.578947368,3,1.5,0.67087847
122,6.421052632,3,1.5,0.691735347
541,28.47368421,22,11,0.566052082
568,29.89473684,23,11.5,0.572699739
36,1.894736842,6,3,0.941647231
556,29.26315789,14,7,0.51253387
46,2.421052632,2,1,0.786674738
51,2.684210526,2,1,0.613835563
29,1.526315789,2,1,0.830539534
62,3.263157895,3,1.5,0.752523843
20,1.052631579,2,1,0.957841489
20,1.052631579,2,1,0.957841489
27,1.421052632,2,1,0.820516151
36,1.894736842,3,1.5,0.786617764
122,6.421052632,3,1.5,0.691735347
16,0.842105263,2,1,0.956182887
16,0.842105263,2,1,0.956182887
93,4.894736842,2,1,0.385814197
541,28.47368421,22,11,0.566052082
1007,53,31,15.5,0.526693851
18,0.947368421,3,1.5,0.985610761
18,0.947368421,3,1.5,0.985610761
207,10.89473684,5,2.5,0.46056875
9,0.473684211,2,1,0.560611911
541,28.47368421,22,11,0.566052082
541,28.47368421,22,11,0.566052082
22,1.157894737,2,1,0.908688223
27,1.421052632,2,1,0.820516151
27,1.421052632,2,1,0.820516151
120,6.315789474,8,4,0.760859753
60,3.157894737,6,3,0.952517786
55,2.894736842,3,1.5,0.540676268
